date,day_name,business_day_no,is_close_day,close_type,sales_target_daily,recognized_target_daily,sales_actual_cum,recognized_actual_cum,memo
2026-01-02,금,1,TRUE,월초특수,36.62872053,32.30674137,35.35710146,32.625528,
2026-01-05,월,2,TRUE,월마감,18.31436027,16.15337069,48.27473842,44.1430225,
2026-01-06,화,3,FALSE,일반,3.662872053,3.230674137,51.20781463,46.4353105,
2026-01-07,수,4,FALSE,일반,3.662872053,3.230674137,53.93482072,48.5538625,
2026-01-08,목,5,TRUE,목마감,50.36449073,44.42176939,96.12521846,89.6520055,
2026-01-09,금,6,FALSE,일반,3.662872053,3.230674137,98.30890995,91.4756655,
2026-01-12,월,7,TRUE,월마감,22.89295033,20.19171336,,,전산침해 이슈
2026-01-13,화,8,FALSE,일반,3.662872053,3.230674137,111.05429,103.9079745,
2026-01-14,수,9,FALSE,일반,3.662872053,3.230674137,116.2440164,108.3732245,
2026-01-15,목,10,TRUE,목마감,13.7357702,12.11502802,126.3565255,117.3493795,
2026-01-16,금,11,FALSE,일반,3.662872053,3.230674137,130.1937004,119.8227715,
2026-01-19,월,12,TRUE,월마감,15.56720623,13.73036508,143.4870656,131.745276,
2026-01-20,화,13,FALSE,일반,3.662872053,3.230674137,147.0781705,134.292222,
2026-01-21,수,14,FALSE,일반,3.662872053,3.230674137,150.9460531,137.58359,
2026-01-22,목,15,TRUE,목마감,12.82005219,11.30735948,158.639093,144.967269,
2026-01-23,금,16,FALSE,일반,3.662872053,3.230674137,161.8174025,147.212506,
2026-01-26,월,17,TRUE,월마감,15.56720623,13.73036508,178.477465,162.753635,
2026-01-27,화,18,FALSE,일반,3.662872053,3.230674137,181.5453632,165.1681985,
2026-01-28,수,19,FALSE,최종마감,10.98861616,9.692022412,191.3864614,174.1015335,
2026-02-02,월,1,TRUE,월초특수,59.63890545,52.23803931,61.81529944,56.8260305,
2026-02-03,화,2,FALSE,일반,4.337374942,3.799130132,68.32915173,62.2873355,
2026-02-04,수,3,FALSE,일반,4.337374942,3.799130132,75.94737411,68.832124,
2026-02-05,목,4,TRUE,목마감,21.68687471,18.99565066,98.17586603,88.871172,
2026-02-08,금,5,FALSE,일반,4.337374942,3.799130132,100.7779276,90.8832,
2026-02-09,월,6,TRUE,월마감,21.68687471,18.99565066,116.7798679,104.7965665,
2026-02-10,화,7,FALSE,일반,4.337374942,3.799130132,119.276274,106.6560525,
2026-02-11,수,8,FALSE,일반,4.337374942,3.799130132,123.1817808,109.7961005,
2026-02-12,목,9,TRUE,목마감,21.68687471,18.99565066,132.9395923,123.2044945,
2026-02-13,금,10,FALSE,일반,4.337374942,3.799130132,135.6632412,125.1710525,
